 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
אל-עריאן, 0001316, 0000107, 0000078, 0000000, 0000078, 0000001, 0000000, 0000036, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000016, 0000000, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000001, 0000000
אל-רום, 0004003, 0000285, 0000186, 0000001, 0000185, 0000069, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000003, 0000000, 0000000, 0000002, 0000000, 0000002, 0000013, 0000025, 0000001, 0000000, 0000001, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000025, 0000000, 0000000, 0000007, 0000001, 0000000
אלומה, 0001145, 0000285, 0000254, 0000000, 0000254, 0000000, 0000081, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000168
אלומות, 0000330, 0000239, 0000163, 0000002, 0000161, 0000068, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000004, 0000000, 0000003, 0000007, 0000029, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000036, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000005, 0000000, 0000000, 0000002, 0000001, 0000000
אלון הגליל, 0001182, 0000664, 0000511, 0000001, 0000510, 0000181, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000004, 0000000, 0000000, 0000006, 0000000, 0000004, 0000036, 0000101, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000109, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000047, 0000000, 0000002, 0000007, 0000003, 0000000
אלון מורה, 0003579, 0000885, 0000722, 0000007, 0000715, 0000002, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000396, 0000000, 0000000, 0000093, 0000000, 0000000, 0000000, 0000191, 0000000, 0000000, 0000000, 0000006, 0000010, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000002, 0000000, 0000013
אלון שבות, 0003604, 0001885, 0001559, 0000012, 0001547, 0000024, 0000010, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0001078, 0000000, 0000001, 0000228, 0000005, 0000000, 0000000, 0000117, 0000000, 0000000, 0000000, 0000023, 0000001, 0000000, 0000000, 0000001, 0000002, 0000036, 0000003, 0000000, 0000000, 0000007, 0000000, 0000011
אלוני אבא, 0000429, 0000550, 0000462, 0000000, 0000462, 0000136, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002, 0000004, 0000000, 0000000, 0000010, 0000000, 0000005, 0000041, 0000065, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000133, 0000001, 0000000, 0000000, 0000000, 0000000, 0000006, 0000054, 0000001, 0000000, 0000002, 0000000, 0000001
אלוני הבשן, 0004017, 0000168, 0000140, 0000000, 0000140, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000099, 0000000, 0000000, 0000021, 0000000, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003
אלוני יצחק, 0000868, 0000115, 0000028, 0000000, 0000028, 0000009, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000005, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000
אלונים, 0000285, 0000509, 0000388, 0000001, 0000387, 0000195, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000008, 0000000, 0000010, 0000013, 0000035, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000082, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000009, 0000002, 0000002
אלי-עד, 0004002, 0000239, 0000172, 0000000, 0000172, 0000036, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000032, 0000000, 0000002, 0000012, 0000010, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000041, 0000001, 0000000, 0000000, 0000000, 0000000, 0000004, 0000010, 0000000, 0000000, 0000009, 0000002, 0000002
אליכין, 0000041, 0002295, 0001688, 0000012, 0001676, 0000157, 0000018, 0000000, 0000000, 0000000, 0000000, 0000002, 0000019, 0000000, 0000000, 0000268, 0000001, 0000038, 0000474, 0000026, 0000000, 0000000, 0000033, 0000000, 0000000, 0000000, 0000156, 0000173, 0000000, 0000000, 0000001, 0000001, 0000038, 0000036, 0000001, 0000000, 0000018, 0000002, 0000214
אליפלט, 0000730, 0000410, 0000263, 0000002, 0000261, 0000009, 0000001, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000009, 0000130, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000013, 0000007, 0000000, 0000000, 0000001, 0000000, 0000000, 0000016, 0000000, 0000000, 0000003, 0000002, 0000028
אליקים, 0000682, 0000521, 0000372, 0000002, 0000370, 0000010, 0000007, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000056, 0000000, 0000013, 0000110, 0000004, 0000000, 0000000, 0000009, 0000000, 0000000, 0000000, 0000022, 0000093, 0000000, 0000000, 0000000, 0000002, 0000007, 0000003, 0000002, 0000000, 0000000, 0000001, 0000029
אלישיב, 0000204, 0000449, 0000349, 0000004, 0000345, 0000029, 0000004, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000048, 0000000, 0000023, 0000103, 0000012, 0000000, 0000000, 0000005, 0000001, 0000000, 0000000, 0000030, 0000012, 0000000, 0000000, 0000001, 0000000, 0000017, 0000015, 0000000, 0000000, 0000006, 0000000, 0000037
אלישמע, 0000841, 0000757, 0000586, 0000003, 0000583, 0000067, 0000001, 0000000, 0000000, 0000056, 0000000, 0000001, 0000002, 0000000, 0000001, 0000053, 0000000, 0000019, 0000170, 0000006, 0000000, 0000000, 0000003, 0000000, 0000000, 0000001, 0000054, 0000004, 0000000, 0000000, 0000001, 0000000, 0000005, 0000040, 0000001, 0000000, 0000010, 0000002, 0000086
אלמגור, 0001125, 0000253, 0000204, 0000000, 0000204, 0000046, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000010, 0000000, 0000000, 0000003, 0000000, 0000006, 0000012, 0000026, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000057, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000032, 0000000, 0000000, 0000004, 0000001, 0000000
אלמוג, 0003556, 0000140, 0000104, 0000000, 0000104, 0000057, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002, 0000010, 0000002, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000018, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000005, 0000000, 0000001, 0000002, 0000000, 0000000
אלעד, 0001309, 0016075, 0014367, 0000066, 0014301, 0000033, 0005124, 0000000, 0000000, 0000000, 0000000, 0000001, 0000003, 0000000, 0000000, 0001083, 0000000, 0000001, 0000239, 0000002, 0000000, 0000000, 0000360, 0000000, 0000001, 0000000, 0000029, 0000704, 0000000, 0000000, 0000002, 0000007, 0000071, 0000006, 0000000, 0000001, 0000006, 0000002, 0006626
אלעזר, 0003618, 0001156, 0000987, 0000003, 0000984, 0000011, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000664, 0000000, 0000001, 0000154, 0000000, 0000000, 0000000, 0000089, 0000000, 0000000, 0000000, 0000016, 0000003, 0000000, 0000000, 0000000, 0000001, 0000023, 0000001, 0000000, 0000000, 0000004, 0000000, 0000014
אלפי מנשה, 0003750, 0005300, 0004070, 0000020, 0004050, 0000520, 0000025, 0000001, 0000000, 0000002, 0000000, 0000001, 0000050, 0000000, 0000006, 0000383, 0000002, 0000097, 0001290, 0000091, 0000001, 0000000, 0000057, 0000000, 0000001, 0000000, 0001068, 0000031, 0000002, 0000000, 0000000, 0000001, 0000049, 0000220, 0000001, 0000001, 0000059, 0000013, 0000078
אלקוש, 0000603, 0000257, 0000146, 0000000, 0000146, 0000010, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000014, 0000000, 0000002, 0000055, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000005, 0000000, 0000000, 0000001, 0000000, 0000029
אלקנה, 0003560, 0002448, 0002064, 0000003, 0002061, 0000012, 0000014, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000001, 0001494, 0000000, 0000002, 0000264, 0000003, 0000000, 0000000, 0000135, 0000000, 0000000, 0000000, 0000035, 0000013, 0000000, 0000000, 0000000, 0000001, 0000033, 0000005, 0000000, 0000000, 0000009, 0000001, 0000035
אמונים, 0000772, 0000629, 0000452, 0000001, 0000451, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000026, 0000000, 0000022, 0000124, 0000010, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000101, 0000002, 0000000, 0000000, 0000000, 0000000, 0000006, 0000027, 0000000, 0000000, 0000004, 0000000, 0000067
אמירים, 0001064, 0000485, 0000364, 0000002, 0000362, 0000082, 0000004, 0000001, 0000000, 0000000, 0000000, 0000010, 0000018, 0000000, 0000000, 0000020, 0000000, 0000011, 0000026, 0000043, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000087, 0000001, 0000000, 0000000, 0000000, 0000000, 0000012, 0000021, 0000002, 0000001, 0000010, 0000000, 0000007
אמנון, 0001253, 0000236, 0000151, 0000002, 0000149, 0000033, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000024, 0000000, 0000008, 0000034, 0000005, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000008, 0000000, 0000001, 0000002, 0000000, 0000008
אמציה, 0000023, 0000341, 0000275, 0000000, 0000275, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000186, 0000000, 0000003, 0000021, 0000002, 0000000, 0000000, 0000017, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009, 0000008, 0000000, 0000000, 0000001, 0000002, 0000005
אניעם, 0004012, 0000378, 0000260, 0000000, 0000260, 0000063, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000042, 0000000, 0000006, 0000040, 0000003, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000019, 0000002, 0000001, 0000006, 0000005, 0000004
אסד (שבט), 0000960, 0000381, 0000085, 0000002, 0000083, 0000002, 0000000, 0000032, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000006, 0000001, 0000000, 0000000, 0000001, 0000000, 0000031, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000004
אספר, 0003754, 0000225, 0000173, 0000001, 0000172, 0000001, 0000060, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000055, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000000, 0000000, 0000006, 0000005, 0000000, 0000000, 0000001, 0000007, 0000000, 0000000, 0000000, 0000000, 0000000, 0000020
אעבלין, 0000529, 0007578, 0004487, 0000046, 0004441, 0000247, 0000016, 0000814, 0000001, 0000000, 0000006, 0001603, 0000002, 0000000, 0000001, 0000003, 0000002, 0000063, 0000204, 0000059, 0000000, 0000002, 0000002, 0000001, 0001197, 0000001, 0000014, 0000000, 0000000, 0000000, 0000001, 0000002, 0000005, 0000024, 0000004, 0000005, 0000010, 0000001, 0000151
אעצם (שבט), 0000963, 0003611, 0001269, 0000026, 0001243, 0000004, 0000003, 0000146, 0000001, 0000002, 0000001, 0000035, 0000002, 0000000, 0000001, 0000004, 0000001, 0000000, 0000004, 0000006, 0000002, 0000005, 0000004, 0000000, 0000971, 0000002, 0000003, 0000000, 0000002, 0000000, 0000002, 0000007, 0000003, 0000002, 0000005, 0000005, 0000001, 0000004, 0000015
אפיק, 0004301, 0000264, 0000177, 0000000, 0000177, 0000057, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000001, 0000000, 0000002, 0000010, 0000001, 0000003, 0000018, 0000019, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000044, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000010, 0000000, 0000000
אפיקים, 0000176, 0001027, 0000701, 0000002, 0000699, 0000411, 0000000, 0000000, 0000001, 0000002, 0000000, 0000004, 0000009, 0000000, 0000000, 0000019, 0000001, 0000014, 0000027, 0000064, 0000002, 0000000, 0000002, 0000000, 0000000, 0000000, 0000090, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000033, 0000000, 0000001, 0000010, 0000001, 0000001
אפק, 0000313, 0000398, 0000285, 0000001, 0000284, 0000143, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000006, 0000000, 0000000, 0000010, 0000000, 0000007, 0000010, 0000018, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000056, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000021, 0000000, 0000001, 0000008, 0000000, 0000001
אפרתה, 0003650, 0005622, 0004401, 0000023, 0004378, 0000069, 0000025, 0000001, 0000001, 0000000, 0000000, 0000002, 0000005, 0000000, 0000001, 0002594, 0000000, 0000005, 0000961, 0000015, 0000000, 0000001, 0000362, 0000000, 0000001, 0000000, 0000106, 0000012, 0000001, 0000000, 0000000, 0000002, 0000115, 0000018, 0000000, 0000000, 0000025, 0000001, 0000055
ארבל, 0000701, 0000396, 0000272, 0000003, 0000269, 0000052, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000028, 0000000, 0000022, 0000054, 0000010, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000053, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000028, 0000000, 0000000, 0000002, 0000000, 0000005
ארגמן, 0003598, 0000134, 0000085, 0000005, 0000080, 0000008, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000002, 0000000, 0000001, 0000013, 0000001, 0000001, 0000021, 0000003, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000012, 0000001, 0000000, 0000000, 0000001, 0000000, 0000003, 0000007, 0000000, 0000000, 0000000, 0000000, 0000001
ארז, 0000714, 0000388, 0000287, 0000000, 0000287, 0000110, 0000001, 0000000, 0000000, 0000000, 0000000, 0000003, 0000008, 0000000, 0000000, 0000006, 0000000, 0000019, 0000010, 0000041, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000037, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000041, 0000000, 0000000, 0000006, 0000000, 0000000
אריאל, 0003570, 0013997, 0009227, 0000160, 0009067, 0000343, 0000023, 0000005, 0000001, 0000010, 0000002, 0000008, 0000039, 0000000, 0000023, 0001467, 0000198, 0000064, 0004844, 0000071, 0000004, 0000006, 0000279, 0000003, 0000000, 0000003, 0000881, 0000052, 0000005, 0000000, 0000007, 0000002, 0000054, 0000164, 0000018, 0000005, 0000251, 0000028, 0000207
אשבול, 0000071, 0000266, 0000189, 0000001, 0000188, 0000011, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000014, 0000000, 0000022, 0000039, 0000001, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000022, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000002, 0000000, 0000054
אשדוד, 0000070, 0166360, 0104774, 0001500, 0103274, 0006214, 0010657, 0000027, 0000020, 0000147, 0000019, 0000029, 0000292, 0000000, 0000305, 0007319, 0001596, 0001439, 0037325, 0001103, 0000030, 0000033, 0001087, 0000076, 0000084, 0000046, 0010340, 0000488, 0000073, 0000000, 0000083, 0000080, 0001265, 0003926, 0000150, 0000046, 0001204, 0000313, 0017458
אשדות יעקב  (איחו, 0000199, 0000547, 0000378, 0000001, 0000377, 0000152, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000010, 0000000, 0000000, 0000018, 0000001, 0000017, 0000033, 0000025, 0000000, 0000001, 0000002, 0000000, 0000000, 0000000, 0000090, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000019, 0000000, 0000000, 0000003, 0000000, 0000000
אשדות יעקב  (מאוח, 0000188, 0000413, 0000285, 0000003, 0000282, 0000133, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000016, 0000003, 0000005, 0000015, 0000008, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000070, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000018, 0000000, 0000000, 0000002, 0000002, 0000002
אשחר, 0001188, 0000437, 0000363, 0000000, 0000363, 0000114, 0000001, 0000000, 0000000, 0000000, 0000000, 0000004, 0000004, 0000000, 0000001, 0000086, 0000000, 0000000, 0000047, 0000017, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000056, 0000001, 0000000, 0000000, 0000000, 0000000, 0000012, 0000010, 0000000, 0000000, 0000003, 0000000, 0000003
אשכולות, 0003722, 0000322, 0000258, 0000002, 0000256, 0000018, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000130, 0000002, 0000001, 0000044, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000029, 0000004, 0000000, 0000000, 0000000, 0000000, 0000007, 0000008, 0000000, 0000000, 0000002, 0000000, 0000005
אשל הנשיא, 0002021, 0000087, 0000056, 0000000, 0000056, 0000013, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000008, 0000000, 0000001, 0000008, 0000003, 0000000, 0000000, 0000002, 0000000, 0000002, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000004, 0000000, 0000000, 0000001, 0000001, 0000002
אשלים, 0001152, 0000295, 0000197, 0000000, 0000197, 0000045, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000002, 0000000, 0000000, 0000015, 0000000, 0000020, 0000032, 0000019, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000036, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000014, 0000000, 0000000, 0000002, 0000001, 0000004
אשקלון, 0007100, 0097100, 0055235, 0000804, 0054431, 0003790, 0000456, 0000017, 0000010, 0000059, 0000017, 0000033, 0000246, 0000000, 0000097, 0005129, 0001221, 0001211, 0022761, 0000638, 0000026, 0000027, 0000855, 0000031, 0000020, 0000032, 0005219, 0000557, 0000076, 0000000, 0000085, 0000063, 0000692, 0002402, 0000062, 0000039, 0000689, 0000163, 0007708
אשרת, 0001256, 0000347, 0000233, 0000001, 0000232, 0000023, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000004, 0000079, 0000006, 0000000, 0000001, 0000007, 0000001, 0000000, 0000000, 0000027, 0000015, 0000000, 0000000, 0000000, 0000000, 0000005, 0000023, 0000000, 0000000, 0000003, 0000001, 0000003
אשתאול, 0000740, 0000641, 0000500, 0000002, 0000498, 0000030, 0000008, 0000000, 0000000, 0000001, 0000001, 0000001, 0000001, 0000000, 0000000, 0000048, 0000000, 0000003, 0000134, 0000026, 0000000, 0000000, 0000019, 0000000, 0000000, 0000000, 0000049, 0000053, 0000000, 0000000, 0000000, 0000001, 0000022, 0000007, 0000001, 0000001, 0000008, 0000001, 0000083
באקה אל-גרביה, 0006000, 0015360, 0006645, 0000144, 0006501, 0001244, 0000001, 0001680, 0000002, 0000002, 0000001, 0000282, 0000003, 0000000, 0000004, 0000010, 0000002, 0000011, 0000013, 0000107, 0000000, 0000000, 0000003, 0000001, 0002839, 0000002, 0000011, 0000001, 0000000, 0000000, 0000001, 0000004, 0000021, 0000010, 0000193, 0000035, 0000005, 0000004, 0000009
באר אורה, 0000021, 0000170, 0000138, 0000000, 0000138, 0000025, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000006, 0000000, 0000003, 0000033, 0000010, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000037, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000018, 0000000, 0000000, 0000000, 0000000, 0000000
באר טוביה, 0000155, 0000610, 0000512, 0000005, 0000507, 0000166, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000001, 0000018, 0000000, 0000024, 0000035, 0000047, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000137, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000057, 0000000, 0000000, 0000007, 0000000, 0000001
באר יעקב, 0002530, 0009560, 0006882, 0000054, 0006828, 0000852, 0000081, 0000000, 0000000, 0000006, 0000002, 0000002, 0000058, 0000000, 0000008, 0000514, 0000014, 0000158, 0001869, 0000137, 0000002, 0000004, 0000109, 0000003, 0000008, 0000001, 0001642, 0000050, 0000000, 0000000, 0000018, 0000009, 0000113, 0000352, 0000004, 0000002, 0000063, 0000017, 0000730
